serviceOptionId,serviceName,currentCategory,currentServiceFamily,currentLevel2,currentOffering,basePrice,unit,status,bookingCount,migrationAction
180,Wiring fuitures,Home Maintenance,Electrical Services,Electrical,Electrical Services,5000,1 hour,active,0,AUTO_MAPPABLE
130,Aircon Cleaning for Cassette Type,Home Services,Aircon 2,Cleaning,(unmapped),3190,per unit,active,0,AUTO_MAPPABLE
133,Aircon Cleaning for Ceiling Mounted Type,Home Services,Aircon 2,Cleaning,(unmapped),2199,per unit,active,0,AUTO_MAPPABLE
132,Aircon Cleaning for Concealed Type,Home Services,Aircon 2,Cleaning,(unmapped),3200,per unit,active,0,AUTO_MAPPABLE
126,Aircon Cleaning for Split Type (2 to 3HP),Home Services,Aircon 2,Cleaning,(unmapped),1590,per unit,active,0,AUTO_MAPPABLE
27,Aircon Cleaning for Split Type (up to 1.5HP),Home Services,Aircon 2,Cleaning,(unmapped),1390,per unit,active,8,AUTO_MAPPABLE
131,Aircon Cleaning for Suspended Type,Home Services,Aircon 2,Cleaning,(unmapped),3200,per unit,active,0,AUTO_MAPPABLE
129,Aircon Cleaning for Tower Type,Home Services,Aircon 2,Cleaning,(unmapped),2290,per unit,active,0,AUTO_MAPPABLE
124,Aircon Cleaning for Window Type (Inverter; 0.5 to 1.5HP),Home Services,Aircon 2,Cleaning,(unmapped),990,per unit,active,0,AUTO_MAPPABLE
125,Aircon Cleaning for Window Type (Inverter; 2 to 2.5HP),Home Services,Aircon 2,Cleaning,(unmapped),1190,per unit,active,0,AUTO_MAPPABLE
26,Aircon Cleaning for Window Type (Non-Inverter; 0.5 to 1.5HP),Home Services,Aircon 2,Cleaning,(unmapped),690,per unit,active,0,AUTO_MAPPABLE
123,Aircon Cleaning for Window Type (Non-Inverter; 2 to 2.5HP),Home Services,Aircon 2,Cleaning,(unmapped),790,per unit,active,0,AUTO_MAPPABLE
32,Floor-standing,Home Services,Aircon 2,Cleaning,(unmapped),3000,per unit,active,1,AUTO_MAPPABLE
134,Freon Charge (per unit),Home Services,Aircon 2,Cleaning,(unmapped),2990,per unit,active,0,AUTO_MAPPABLE
128,Pull-down Cleaning for Split Type (2 to 3HP),Home Services,Aircon 2,Cleaning,(unmapped),4990,per unit,active,0,AUTO_MAPPABLE
127,Pull-down Cleaning for Split Type (up to 1.5HP),Home Services,Aircon 2,Cleaning,(unmapped),4490,per unit,active,0,AUTO_MAPPABLE
135,Aircon Installation Split Type,Home Services,Aircon 2,Installation,(unmapped),7400,per unit,active,0,AUTO_MAPPABLE
28,Aircon Installation Window Type,Home Services,Aircon 2,Installation,(unmapped),1400,per unit,active,0,AUTO_MAPPABLE
136,Freon Charge ,Home Services,Aircon 2,Installation,(unmapped),2900,per unit,active,1,AUTO_MAPPABLE
34,Quarterly,Home Services,Aircon 2,Maintenance Plan,(unmapped),3000,year,active,1,AUTO_MAPPABLE
33,Refill,Home Services,Aircon 2,Refrigerant (freon),(unmapped),1800,per unit,active,1,AUTO_MAPPABLE
139,Aircon Check up for Ceiling Mounted Type,Home Services,Aircon 2,Repair,(unmapped),400,per unit,active,0,AUTO_MAPPABLE
138,Aircon Check up for Split Type,Home Services,Aircon 2,Repair,(unmapped),390,per unit,active,0,AUTO_MAPPABLE
140,Aircon Check up for Tower Type,Home Services,Aircon 2,Repair,(unmapped),400,per unit,active,0,AUTO_MAPPABLE
137,Aircon Check up for Window Type,Home Services,Aircon 2,Repair,(unmapped),300,per unit,active,0,AUTO_MAPPABLE
145,Aircon System Reprocess Split Type (up to 1.5HP to),Home Services,Aircon 2,Repair,(unmapped),6900,per unit,active,0,AUTO_MAPPABLE
146,Aircon System Reprocess Split Type  (up to 2 HP to 2.5 HP),Home Services,Aircon 2,Repair,(unmapped),7900,per unit,active,0,AUTO_MAPPABLE
143,Aircon System Reprocess Window Type (0.5 HP to 1.5 HP),Home Services,Aircon 2,Repair,(unmapped),4400,per unit,active,0,AUTO_MAPPABLE
144,Aircon System Reprocess Window Type (2 HP to 2.5 HP),Home Services,Aircon 2,Repair,(unmapped),5400,per unit,active,0,AUTO_MAPPABLE
141,Aircon Type for Cassette,Home Services,Aircon 2,Repair,(unmapped),400,per unit,active,0,AUTO_MAPPABLE
142,Freon Charge ,Home Services,Aircon 2,Repair,(unmapped),2900,per unit,active,0,AUTO_MAPPABLE
4,Emperor's Drip,Personal Care,Beauty & Wellness,Beauty Drip,Aesthetics & Beauty,3500,per session,active,12,AUTO_MAPPABLE
